movie_title,mcu_phase,release_date,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,worldwide_box_office
Iron Man,1,5/2/08,94,91,126,"$186,000,000.00","$102,118,668.00","$318,604,126.00","$585,171,547.00"
The Incredible Hulk,1,6/13/08,67,70,112,"$137,500,000.00","$55,414,050.00","$134,806,913.00","$265,573,859.00"
Iron Man 2,1,5/7/10,72,71,124,"$170,000,000.00","$128,122,480.00","$312,433,331.00","$621,156,389.00"
Thor,1,5/6/11,77,76,113,"$150,000,000.00","$65,723,338.00","$181,030,624.00","$449,326,618.00"
Captain America: The First Avenger,1,7/22/11,79,75,124,"$140,000,000.00","$65,058,524.00","$176,654,505.00","$370,569,776.00"
The Avengers,1,5/4/12,91,91,143,"$225,000,000.00","$207,438,708.00","$623,357,910.00","$1,515,100,211.00"
Iron Man 3,2,5/3/13,79,78,130,"$200,000,000.00","$174,144,585.00","$408,992,272.00","$1,215,392,272.00"
Thor: The Dark World,2,11/8/13,66,75,111,"$150,000,000.00","$85,737,841.00","$206,362,140.00","$644,602,516.00"
Captain America: The Winter Soldier,2,4/4/14,90,92,135,"$170,000,000.00","$95,023,721.00","$259,746,958.00","$714,401,889.00"
Guardians of the Galaxy,2,8/1/14,92,92,121,"$170,000,000.00","$94,320,883.00","$333,714,112.00","$770,882,395.00"
Avengers: Age of Ultron,2,5/1/15,76,83,141,"$365,000,000.00","$191,271,109.00","$459,005,868.00","$1,395,316,979.00"
Ant-Man,2,7/17/15,83,85,117,"$130,000,000.00","$57,225,526.00","$180,202,163.00","$518,858,449.00"
Captain America: Civil War,3,5/6/16,90,89,146,"$250,000,000.00","$179,139,142.00","$408,084,349.00","$1,151,918,521.00"
Doctor Strange,3,11/4/16,89,86,115,"$165,000,000.00","$85,058,311.00","$232,641,920.00","$676,354,481.00"
Guardians of the Galaxy Vol. 2,3,5/5/17,85,87,135,"$200,000,000.00","$146,510,104.00","$389,813,101.00","$869,113,101.00"
Spider-Man: Homecoming,3,7/7/17,92,87,133,"$175,000,000.00","$117,027,503.00","$334,201,140.00","$878,346,440.00"
Thor: Ragnarok,3,11/3/17,93,87,130,"$180,000,000.00","$122,744,989.00","$315,058,289.00","$850,482,778.00"
Black Panther,3,2/16/18,96,79,134,"$200,000,000.00","$202,003,951.00","$700,059,566.00","$1,336,494,321.00"
Avengers: Infinity War,3,4/27/18,85,91,149,"$300,000,000.00","$257,698,183.00","$678,815,482.00","$2,048,359,754.00"
Ant-Man and the Wasp,3,7/6/18,87,81,118,"$130,000,000.00","$75,812,205.00","$216,648,740.00","$623,144,660.00"
Captain Marvel,3,3/8/19,79,45,124,"$175,000,000.00","$153,433,423.00","$426,829,839.00","$1,129,727,388.00"
Avengers: End Game,3,4/26/19,94,90,181,"$400,000,000.00","$357,115,007.00","$858,373,000.00","$2,797,800,564.00"
Spider-Man: Far From Home,3,7/2/19,90,95,129,"$160,000,000.00","$92,579,212.00","$390,532,085.00","$1,132,532,832.00"
Black Widow,4,7/9/21,79,91,133,"$200,000,000.00","$80,366,312.00","$183,651,655.00","$379,751,655.00"
Shang-Chi and the Legend of the Ten Rings,4,9/3/21,91,98,133,"$150,000,000.00","$75,388,688.00","$224,543,292.00","$432,243,292.00"
Eternals,4,11/5/21,47,78,157,"$200,000,000.00","$71,297,219.00","$164,870,264.00","$402,064,929.00"
Spider-Man: No Way Home,4,12/17/21,93,98,148,"$200,000,000.00","$260,138,569.00","$803,975,784.00","$1,891,108,035.00"